,algorithm,best_score,max_iter,num_models,overhead,partial_fit_calls,patience,time,tol,workers
0,hyperband,1.0393789855916968,27,49,1.5184031592475045,357,,8.131048917770386,,4
1,hyperband,0.9990877163932065,27,49,1.360037703028803,357,,7.283001899719238,,4
2,hyperband,1.3017290682333738,27,49,1.3227771755471396,357,,7.083471775054932,,4
3,hyperband,1.2490034271672084,27,49,1.3600464739830667,357,,7.283048868179321,,4
4,hyperband,1.1555361908223607,27,49,1.3844530566845066,357,,7.413746118545532,,4
5,hyperband,1.4450435200803156,27,49,1.3608450760471833,357,,7.287325382232666,,4
6,hyperband,1.004278782199482,27,49,1.3352264543207422,357,,7.150137662887573,,4
7,hyperband,1.2130469246218372,27,49,1.340194376242929,357,,7.176740884780884,,4
8,hyperband,1.2560434405130025,27,49,1.3639841426988277,357,,7.304135084152222,,4
9,hyperband,1.0282517332337613,27,49,1.3505420987568206,357,,7.232152938842773,,4
10,hyperband,1.4211700838283252,27,49,1.3773354050380733,357,,7.375631093978882,,4
11,hyperband,1.3440995657800736,27,49,1.3519178474205438,357,,7.239520072937012,,4
12,stop_on_plateau,0.9741183496156781,27,13,32.66442983578413,13,10.0,6.369563817977905,0.01,4
13,stop_on_plateau,1.2432456265092957,27,13,26.859537760416664,13,10.0,5.23760986328125,0.1,4
14,stop_on_plateau,1.1278376399074164,27,13,32.36037523318559,13,20.0,6.310273170471191,0.01,4
15,stop_on_plateau,0.9521218580541665,27,13,31.53855739495693,13,20.0,6.150018692016602,0.1,4
16,stop_on_plateau,0.9233573455885735,27,13,32.276211029443985,13,40.0,6.293861150741577,0.01,4
17,stop_on_plateau,0.9309608981246542,27,13,32.16353807693873,13,40.0,6.271889925003052,0.1,4
18,stop_on_plateau,1.2313370360140607,27,26,30.491198026216946,26,10.0,11.89156723022461,0.01,4
19,stop_on_plateau,1.0333865681941128,27,26,27.71001290052365,26,10.0,10.806905031204224,0.1,4
20,stop_on_plateau,1.0544782637518653,27,26,30.60288184728378,26,20.0,11.935123920440674,0.01,4
21,stop_on_plateau,1.2814214883113653,27,26,29.76691539470966,26,20.0,11.609097003936768,0.1,4
22,stop_on_plateau,1.0129735306995873,27,26,31.15544624817677,26,40.0,12.15062403678894,0.01,4
23,stop_on_plateau,1.0552932692541548,27,26,31.85569995488876,26,40.0,12.423722982406616,0.1,4
24,hyperband,1.6761926886061136,81,143,1.2489370924748375,1581,,29.61854314804077,,4
25,hyperband,1.4082093942771408,81,143,1.2598449008112438,1581,,29.877221822738647,,4
26,hyperband,1.5422242523803025,81,143,1.2585994841905177,1581,,29.847686767578125,,4
27,hyperband,1.7308875738722675,81,143,1.2272575096115894,1581,,29.104411840438843,,4
28,hyperband,1.7836388869454511,81,143,1.2386740045710352,1581,,29.3751540184021,,4
29,hyperband,1.7450902039775749,81,143,1.2426618631947224,1581,,29.469726085662842,,4
30,hyperband,1.5987832466173464,81,143,1.2641694207445822,1581,,29.979777812957764,,4
31,hyperband,2.0633262159573404,81,143,1.3039394493674066,1581,,30.922924041748047,,4
32,hyperband,1.3758959426485031,81,143,1.3251830826272146,1581,,31.426716804504395,,4
33,hyperband,1.5447709233180085,81,143,1.3305385480217609,1581,,31.55372166633606,,4
34,hyperband,1.709096403454601,81,143,1.292825976731077,1581,,30.65936803817749,,4
35,hyperband,1.3242456947215975,81,143,1.3171502816483565,1581,,31.23621892929077,,4
36,stop_on_plateau,1.0966820764790648,81,19,73.61092985722057,19,10.0,20.97911500930786,0.01,4
37,stop_on_plateau,0.9052003463971824,81,19,39.344210373727904,19,10.0,11.213099956512451,0.1,4
38,stop_on_plateau,1.8131419374696667,81,19,95.10019536603961,19,20.0,27.10355567932129,0.01,4
39,stop_on_plateau,1.4425317273677127,81,19,63.10830199927615,19,20.0,17.9858660697937,0.1,4
40,stop_on_plateau,1.5822462301699245,81,19,98.85551636679132,19,40.0,28.173822164535522,0.01,4
41,stop_on_plateau,1.3387199810784054,81,19,90.61966946250514,19,40.0,25.826605796813965,0.1,4
42,stop_on_plateau,1.3982971697164448,81,39,90.78514718601846,39,10.0,53.1093111038208,0.01,4
43,stop_on_plateau,1.2415572763506593,81,39,34.18196042378744,39,10.0,19.99644684791565,0.1,4
44,stop_on_plateau,1.311739244583321,81,39,93.42853187495827,39,20.0,54.655691146850586,0.01,4
45,stop_on_plateau,1.4207086898371901,81,39,60.05828034164559,39,20.0,35.13409399986267,0.1,4
46,stop_on_plateau,1.5582784917991375,81,39,96.37288884219961,39,40.0,56.37813997268677,0.01,4
47,stop_on_plateau,1.170630651732377,81,39,81.43081583528438,39,40.0,47.63702726364136,0.1,4
48,hyperband,1.6562215087188004,243,143,1.174322325076262,4743,,83.54716181755066,,4
49,hyperband,1.6484064098792972,243,143,1.15087008357291,4743,,81.87865209579468,,4
50,hyperband,1.493148584617276,243,143,1.1804036995591982,4743,,83.97982120513916,,4
51,hyperband,1.6203425155736202,243,143,1.175695508184399,4743,,83.64485692977905,,4
52,hyperband,1.4794431343404557,243,143,1.1514890603619037,4743,,81.92268919944763,,4
53,hyperband,1.5937778875517596,243,143,1.154878025723824,4743,,82.16379714012146,,4
54,hyperband,1.6240697270506346,243,143,1.1559196546965955,4743,,82.23790383338928,,4
55,hyperband,1.7024818227920524,243,143,1.1494446993795717,4743,,81.77724313735962,,4
56,hyperband,1.6514329828160457,243,143,1.1763700171158382,4743,,83.6928448677063,,4
57,hyperband,1.4280571484573497,243,143,1.1492844333014642,4743,,81.76584100723267,,4
58,hyperband,1.719586661304912,243,143,1.2478366874326465,4743,,88.77734112739563,,4
59,hyperband,1.781106524711312,243,143,1.2636587133695123,4743,,89.90299916267395,,4
60,stop_on_plateau,1.3419205260539362,243,19,155.31679036324485,19,10.0,44.26528525352478,0.01,4
61,stop_on_plateau,1.248964137252535,243,19,36.1329011749803,19,10.0,10.297876834869385,0.1,4
62,stop_on_plateau,1.5926530856544092,243,19,172.28514688056813,19,20.0,49.101266860961914,0.01,4
63,stop_on_plateau,1.3128090424822703,243,19,70.05093725104082,19,20.0,19.96451711654663,0.1,4
64,stop_on_plateau,1.612360618536227,243,19,190.3698561484354,19,40.0,54.25540900230408,0.01,4
65,stop_on_plateau,1.0493589555562928,243,19,128.42768117001182,19,40.0,36.60188913345337,0.1,4
66,stop_on_plateau,1.7008646069130133,243,39,151.01816430051105,39,10.0,88.34562611579895,0.01,4
67,stop_on_plateau,1.233993690497741,243,39,29.407726597582176,39,10.0,17.20352005958557,0.1,4
68,stop_on_plateau,1.4795976678954676,243,39,181.48919293004224,39,20.0,106.1711778640747,0.01,4
69,stop_on_plateau,1.5707066121813624,243,39,66.88300157204652,39,20.0,39.12655591964722,0.1,4
70,stop_on_plateau,1.6527068549709532,243,39,205.51032856998282,39,40.0,120.22354221343994,0.01,4
71,stop_on_plateau,1.324901360937811,243,39,104.64851265279657,39,40.0,61.219379901885986,0.1,4
72,hyperband,1.5502759659083627,27,49,1.969468894125033,357,,5.273252964019775,,8
73,hyperband,1.3080011052759635,27,49,1.5505453229061807,357,,4.151585102081299,,8
74,hyperband,1.3234936667724448,27,49,1.5230292810890633,357,,4.077910900115967,,8
75,hyperband,1.2807695016005751,27,49,1.6456586194862062,357,,4.406250953674316,,8
76,hyperband,1.2971277523830798,27,49,1.5313545640220607,357,,4.100201845169067,,8
77,hyperband,1.0850720035877197,27,49,1.558846741719963,357,,4.1738121509552,,8
78,hyperband,1.476257236868287,27,49,1.6513901932232855,357,,4.421597242355347,,8
79,hyperband,1.3890530566951553,27,49,1.5753538557350024,357,,4.218009948730469,,8
80,hyperband,1.1906043881633304,27,49,1.55632079593719,357,,4.167048931121826,,8
81,hyperband,1.4262361243586605,27,49,1.6027948324308565,357,,4.291483163833618,,8
82,hyperband,1.3849497675159312,27,49,1.5988720342669946,357,,4.280979871749878,,8
83,hyperband,1.0826483598486485,27,49,1.5675709472428296,357,,4.197171211242676,,8
