,alg,best_score_max,best_score_mean,best_score_median,best_score_min,best_score_std,patience,tol,wall_time (min),wall_time (s)
0,hyperband-p20,-0.5429500937461853,-0.5429500937461853,-0.5429500937461853,-0.5429500937461853,0.0,20,0.0,0.0,0.0
1,hyperband-p20,-0.13032713532447815,-0.3366386145353317,-0.3366386145353317,-0.5429500937461853,0.20631147921085358,20,0.0,0.0,0.0
2,hyperband-p20,-0.13032713532447815,-0.43389569719632465,-0.5429500937461853,-0.6284098625183105,0.21747221560060204,20,0.0,0.0,0.0
3,hyperband-p20,-0.13032713532447815,-0.3595293362935384,-0.4053107798099518,-0.5429500937461853,0.17153499522838944,20,0.0,7.947285970052083e-09,4.76837158203125e-07
4,hyperband-p20,-0.13032713532447815,-0.3595293362935384,-0.4053107798099518,-0.5429500937461853,0.17153499522838944,20,0.0,1.1920928955078126e-08,7.152557373046875e-07
5,hyperband-p20,-0.13032713532447815,-0.3595293362935384,-0.4053107798099518,-0.5429500937461853,0.17153499522838944,20,0.0,1.5894571940104166e-08,9.5367431640625e-07
6,hyperband-p20,-0.13032713532447815,-0.3595293362935384,-0.4053107798099518,-0.5429500937461853,0.17153499522838944,20,0.0,1.5894571940104166e-08,9.5367431640625e-07
7,hyperband-p20,-0.13032713532447815,-0.2732971707979838,-0.14661428332328796,-0.5429500937461853,0.19078931126308815,20,0.0,1.5894571940104166e-08,9.5367431640625e-07
8,hyperband-p20,-0.13032713532447815,-0.2732971707979838,-0.14661428332328796,-0.5429500937461853,0.19078931126308815,20,0.0,1.9868214925130207e-08,1.1920928955078125e-06
9,hyperband-p20,-0.13032713532447815,-0.2732971707979838,-0.14661428332328796,-0.5429500937461853,0.19078931126308815,20,0.0,1.9868214925130207e-08,1.1920928955078125e-06
10,hyperband-p20,-0.13032713532447815,-0.2732971707979838,-0.14661428332328796,-0.5429500937461853,0.19078931126308815,20,0.0,2.384185791015625e-08,1.430511474609375e-06
11,hyperband-p20,-0.13032713532447815,-0.1767348349094391,-0.14661428332328796,-0.25326308608055115,0.05452062434201938,20,0.0,2.384185791015625e-08,1.430511474609375e-06
12,hyperband-p20,-0.13032713532447815,-0.1767348349094391,-0.14661428332328796,-0.25326308608055115,0.05452062434201938,20,0.0,2.384185791015625e-08,1.430511474609375e-06
13,hyperband-p20,-0.13032713532447815,-0.1767348349094391,-0.14661428332328796,-0.25326308608055115,0.05452062434201938,20,0.0,2.7815500895182292e-08,1.6689300537109375e-06
14,hyperband-p20,-0.13032713532447815,-0.1767348349094391,-0.14661428332328796,-0.25326308608055115,0.05452062434201938,20,0.0,2.7815500895182292e-08,1.6689300537109375e-06
15,hyperband-p20,-0.13032713532447815,-0.16278210282325745,-0.14661428332328796,-0.21140488982200623,0.03501856040376354,20,0.0,3.178914388020833e-08,1.9073486328125e-06
16,hyperband-p20,-0.13032713532447815,-0.16278210282325745,-0.14661428332328796,-0.21140488982200623,0.03501856040376354,20,0.0,3.5762786865234374e-08,2.1457672119140625e-06
17,hyperband-p20,-0.13032713532447815,-0.16278210282325745,-0.14661428332328796,-0.21140488982200623,0.03501856040376354,20,0.0,3.5762786865234374e-08,2.1457672119140625e-06
18,hyperband-p20,-0.13032713532447815,-0.16278210282325745,-0.14661428332328796,-0.21140488982200623,0.03501856040376354,20,0.0,3.9736429850260414e-08,2.384185791015625e-06
19,hyperband-p20,-0.129619762301445,-0.13552039364973703,-0.13032713532447815,-0.14661428332328796,0.007849878352141033,20,0.0,3.9736429850260414e-08,2.384185791015625e-06
20,hyperband-p20,-0.129619762301445,-0.13533403476079306,-0.12976805865764618,-0.14661428332328796,0.00797657000955787,20,0.0,3.9736429850260414e-08,2.384185791015625e-06
