activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,solver
relu,hyperband,1.0495932305582267e-05,64,"(10, 10)",constant,0.008164167604921472,0.6296296296296297,inf,True,0.4595595595595596,sgd
relu,hyperband,1.355601785329369e-05,64,"(10, 10)",constant,0.00937501501514529,0.7997997997997998,inf,True,0.4059059059059059,sgd
relu,hyperband,2.1395888713434215e-05,64,"(10, 10)",constant,0.0008220815755240541,0.988988988988989,inf,True,0.4563563563563564,sgd
relu,hyperband,1.101645949633657e-06,32,"(10, 10)",constant,0.00227697025538168,0.8358358358358359,inf,True,0.7102102102102102,sgd
relu,hyperband,7.376797602527731e-05,32,"(10, 10)",constant,0.008126619200091946,0.5865865865865866,inf,True,0.16966966966966968,sgd
relu,hyperband,5.672228971644549e-05,32,"(10, 10)",constant,0.003058338032378432,0.12612612612612611,inf,True,0.3154154154154154,sgd
relu,hyperband,0.00017508270317357253,32,"(10, 10)",constant,0.005994842503189409,0.8728728728728729,inf,True,0.5044044044044045,sgd
relu,hyperband,6.789406812696113e-05,32,"(10, 10)",constant,0.00694771254846024,0.22022022022022023,inf,True,0.8871871871871873,sgd
relu,hyperband,0.00020104964162604992,128,"(10, 10)",constant,0.0033847728559459832,0.9419419419419419,inf,True,0.6477477477477478,sgd
relu,hyperband,1.0790287915161837e-06,32,"(10, 10)",constant,0.007689283720758305,0.5535535535535535,inf,True,0.6605605605605606,sgd
relu,passive,2.1102034285685966e-06,32,"(5, 5, 5, 5)",constant,0.0074451229107951435,0.7427427427427428,inf,True,0.2897897897897898,sgd
relu,passive,7.90492762269642e-05,32,"(10, 10)",constant,0.002287490817355704,0.1881881881881882,inf,True,0.3282282282282283,sgd
relu,passive,0.0007126115430111746,64,"(10, 10)",invscaling,0.0024968784288843266,0.8818818818818819,inf,True,0.1768768768768769,sgd
relu,passive,0.00032174181506763714,64,"(20,)",constant,0.006915758828738525,0.7267267267267267,inf,True,0.8647647647647648,sgd
relu,passive,4.04209583979631e-06,32,"(10, 10)",constant,0.0038689007393279753,0.5815815815815816,inf,True,0.5548548548548549,sgd
relu,passive,3.5444556739704356e-06,32,"(10, 10)",constant,0.003002461709085549,0.7697697697697697,inf,True,0.3186186186186186,sgd
relu,passive,2.308677994187167e-06,128,"(5, 5, 5, 5)",constant,0.0005305480525369575,0.933933933933934,inf,True,0.5532532532532533,sgd
relu,passive,9.727203192450536e-06,32,"(10, 10)",constant,0.0027889802923804397,0.4264264264264264,inf,True,0.8095095095095095,sgd
relu,passive,0.0001726780903884356,64,"(10, 10)",constant,0.0015459277364194785,0.990990990990991,inf,True,0.8271271271271271,sgd
relu,passive,3.108082173869064e-06,128,"(10, 10)",constant,0.008911482322840203,0.6406406406406406,inf,True,0.6645645645645646,sgd
