activation,alg,alpha,batch_size,best_score_,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,solver
relu,hyperband,2.543345761304648e-05,256,0.9047190561887622,"(24,)",constant,0.004401935185208874,0.9879879879879879,inf,True,0.2961961961961962,sgd
relu,hyperband,0.00021844360711494262,64,0.9099180163967207,"(12, 12)",constant,0.007868571506936843,0.8308308308308309,inf,True,0.5156156156156156,sgd
relu,hyperband,1.1562801312073753e-05,256,0.9104179164167167,"(12, 12)",constant,0.007309099328602911,0.973973973973974,inf,True,0.15205205205205205,sgd
relu,hyperband,8.829699955494083e-06,32,0.914617076584683,"(12, 12)",constant,0.0032174181506763717,0.7467467467467468,inf,True,0.8303303303303303,sgd
relu,hyperband,1.4032890847858732e-05,32,0.9072185562887423,"(6, 6, 6, 6)",constant,0.003995780301895269,0.45245245245245247,inf,True,0.662962962962963,sgd
relu,hyperband,8.768856094587427e-06,32,0.9104179164167167,"(12, 12)",constant,0.00858882855954625,0.1831831831831832,inf,True,0.7750750750750751,sgd
relu,hyperband,3.7202366814130657e-06,256,0.9070185962807439,"(12, 12)",constant,0.009549485639791966,0.8608608608608609,inf,True,0.8847847847847848,sgd
relu,hyperband,3.986581073580439e-05,32,0.9063187362527495,"(12, 12)",constant,0.0010023075482838654,0.970970970970971,inf,True,0.11441441441441443,sgd
relu,hyperband,0.0008354528058382863,128,0.9084183163367326,"(12, 12)",constant,0.0006868103588995307,0.994994994994995,inf,True,0.44834834834834836,sgd
relu,hyperband,0.0001633853877809862,64,0.9112177564487103,"(12, 12)",invscaling,0.008870496889654403,0.93993993993994,inf,True,0.104004004004004,sgd
relu,hyperband,0.0009794696670695395,32,0.9122175564887023,"(6, 6, 6, 6)",constant,0.009908228099003798,0.06706706706706707,inf,True,0.1856856856856857,sgd
relu,hyperband,0.00028804441533962976,64,0.9144171165766847,"(6, 6, 6, 6)",constant,0.0053177231778509665,0.9479479479479479,inf,True,0.27057057057057055,sgd
relu,hyperband,2.1844360711494283e-06,64,0.9069186162767446,"(6, 6, 6, 6)",constant,0.003100926635931927,0.9719719719719719,inf,True,0.6549549549549549,sgd
relu,hyperband,0.00014728827239075018,32,0.9135172965406919,"(12, 12)",constant,0.0034319071974590427,0.8658658658658659,inf,True,0.34264264264264266,sgd
relu,hyperband,8.296958520834916e-05,64,0.9140171965606879,"(12, 12)",constant,0.008015006961565405,0.4114114114114114,inf,True,0.17527527527527528,sgd
relu,hyperband,1.4228304572143519e-05,32,0.9102179564087183,"(12, 12)",constant,0.008668379930019773,0.5305305305305306,inf,True,0.3162162162162162,sgd
relu,hyperband,0.0002706652070033241,32,0.911117776444711,"(12, 12)",constant,0.0036271002523306484,0.8198198198198198,inf,True,0.5996996996996997,sgd
relu,hyperband,1.7030650292528427e-06,32,0.9085182963407319,"(12, 12)",constant,0.009331897715733239,0.5355355355355356,inf,True,0.6597597597597598,sgd
relu,hyperband,2.389892566231048e-05,32,0.9127174565086983,"(12, 12)",constant,0.0004079534503452449,0.948948948948949,inf,True,0.4187187187187187,sgd
relu,hyperband,1.4130259905995336e-05,256,0.9124175164967007,"(12, 12)",constant,0.008015006961565405,0.9629629629629629,inf,True,0.35785785785785784,sgd
relu,hyperband,7.531420165974376e-06,64,0.9139172165566887,"(12, 12)",constant,0.00903557834613892,0.9239239239239239,inf,True,0.37467467467467475,sgd
relu,hyperband,0.000326222200971167,64,0.9120175964807039,"(12, 12)",constant,0.0062776601058065,0.965965965965966,inf,True,0.8191191191191192,sgd
relu,hyperband,4.213321743847289e-06,32,0.910117976404719,"(12, 12)",constant,0.0017427746784089192,0.7267267267267267,inf,True,0.686986986986987,sgd
relu,hyperband,1.691329517029647e-05,32,0.9087182563487303,"(6, 6, 6, 6)",constant,0.006394488428556937,0.48348348348348347,inf,True,0.5836836836836837,sgd
relu,hyperband,0.00019692202554791714,64,0.9123175364927014,"(12, 12)",constant,0.004442706749606883,0.978978978978979,inf,True,0.30340340340340344,sgd
relu,hyperband,4.8717802187946306e-05,256,0.9117176564687063,"(12, 12)",constant,0.0077248114514034,0.974974974974975,inf,True,0.8383383383383384,sgd
relu,hyperband,6.335804992658255e-05,128,0.8947210557888422,"(24,)",constant,0.005416686911033152,0.994994994994995,inf,True,0.16086086086086088,sgd
relu,hyperband,5.517492376129129e-06,32,0.9189162167566487,"(12, 12)",constant,0.002566902715491952,0.7167167167167167,inf,True,0.39149149149149154,sgd
relu,hyperband,1.762975375287204e-05,256,0.9166166766646671,"(12, 12)",constant,0.0034796979038876916,0.9829829829829829,inf,True,0.8767767767767768,sgd
relu,hyperband,2.3246970599856503e-06,32,0.9147170565886823,"(12, 12)",invscaling,0.00320262069365765,0.8658658658658659,inf,True,0.15925925925925927,sgd
relu,hyperband,0.0005113387538414326,512,0.911117776444711,"(6, 6, 6, 6)",constant,0.005517492376129128,0.8358358358358359,inf,True,0.5188188188188189,sgd
relu,hyperband,0.00017752080117176342,256,0.9139172165566887,"(6, 6, 6, 6)",constant,0.009954008287621519,0.5415415415415415,inf,True,0.6773773773773774,sgd
relu,hyperband,1.9692202554791733e-06,256,0.914617076584683,"(12, 12)",constant,0.0005633142670601352,0.997997997997998,inf,True,0.7454454454454454,sgd
relu,hyperband,2.1395888713434215e-05,32,0.906618676264747,"(6, 6, 6, 6)",constant,0.0034477640547344642,0.8088088088088088,inf,True,0.22652652652652655,sgd
relu,hyperband,5.517492376129129e-06,32,0.9118176364727054,"(12, 12)",constant,0.00903557834613892,0.7687687687687688,inf,True,0.30580580580580585,sgd
relu,hyperband,4.04209583979631e-06,128,0.914617076584683,"(12, 12)",constant,0.0009794696670695395,0.960960960960961,inf,True,0.11921921921921923,sgd
relu,hyperband,6.379766808606283e-05,64,0.9201159768046391,"(12, 12)",constant,0.0037288213071828336,0.7097097097097097,inf,True,0.11601601601601602,sgd
relu,hyperband,4.271993966306777e-06,128,0.912117576484703,"(12, 6, 3, 3)",constant,0.008668379930019773,0.9139139139139139,inf,True,0.5420420420420421,sgd
relu,hyperband,0.0006162966255132943,64,0.9147170565886823,"(12, 12)",constant,0.00216438908606402,0.8518518518518519,inf,True,0.8303303303303303,sgd
relu,hyperband,0.0005184593543892913,64,0.9132173565286943,"(12, 12)",constant,0.00505479682119124,0.960960960960961,inf,True,0.686986986986987,sgd
relu,passive,4.070142453219439e-06,64,0.8803239352129574,"(12, 12)",constant,0.002520004993764092,0.46546546546546547,inf,True,0.16486486486486487,sgd
relu,passive,0.00012650337203959038,64,0.8978204359128175,"(6, 6, 6, 6)",constant,0.008354528058382871,0.8378378378378378,inf,True,0.8543543543543544,sgd
relu,passive,0.00047062248498412813,256,0.9025194961007799,"(6, 6, 6, 6)",constant,0.0031441083031472647,0.9569569569569569,inf,True,0.6461461461461462,sgd
relu,passive,2.3570694139967276e-05,64,0.8789242151569686,"(12, 6, 3, 3)",constant,0.0021346630333242455,0.4954954954954955,inf,True,0.22492492492492494,sgd
relu,passive,8.890965989529168e-05,32,0.8899220155968807,"(24,)",constant,0.002920555512182745,0.6926926926926927,inf,True,0.7958958958958959,sgd
relu,passive,5.4794723369002926e-05,64,0.7178564287142571,"(4, 4, 4, 4, 4, 4)",constant,0.0030866649433372744,0.5495495495495496,inf,True,0.30420420420420424,sgd
relu,passive,1.8761746914391196e-06,512,0.829634073185363,"(24,)",constant,0.00390473523688556,0.9159159159159159,inf,True,0.3490490490490491,sgd
relu,passive,7.028244264308353e-05,32,0.8880223955208958,"(12, 6, 3, 3)",constant,0.005125186927053333,0.6206206206206206,inf,True,0.8423423423423424,sgd
relu,passive,9.9310918137498e-05,32,0.8877224555088982,"(24,)",constant,0.0020668802496290823,0.8018018018018018,inf,True,0.39789789789789787,sgd
relu,passive,3.1952475057592136e-05,256,0.9102179564087183,"(6, 6, 6, 6)",constant,0.001476281471909391,0.970970970970971,inf,True,0.32262262262262265,sgd
relu,passive,0.0001101645949633657,256,0.5708858228354329,"(4, 4, 4, 4, 4, 4)",constant,0.00790492762269642,0.24224224224224225,inf,True,0.16726726726726726,sgd
relu,passive,4.391800892596086e-06,128,0.912117576484703,"(12, 12)",constant,0.00243998629725955,0.965965965965966,inf,True,0.6797797797797798,sgd
relu,passive,1.042360673976401e-06,128,0.8289342131573685,"(24,)",constant,0.0075836779149971905,0.44844844844844844,inf,True,0.7926926926926927,sgd
relu,passive,2.5609931002584567e-05,32,0.9065186962607479,"(12, 12)",constant,0.006220048825634711,0.46446446446446443,inf,True,0.5772772772772773,sgd
relu,passive,8.296958520834916e-05,64,0.9088182363527294,"(12, 12)",constant,0.008015006961565405,0.4114114114114114,inf,True,0.17527527527527528,sgd
relu,passive,8.470868266557403e-05,64,0.792241551689662,"(12, 6, 3, 3)",constant,0.0038689007393279753,0.3813813813813814,inf,True,0.6485485485485486,sgd
relu,passive,2.614673211801092e-06,256,0.9072185562887423,"(6, 6, 6, 6)",constant,0.0042621588290153245,0.955955955955956,inf,True,0.8735735735735736,sgd
relu,passive,7.275483529196233e-06,64,0.9028194361127775,"(6, 6, 6, 6)",constant,0.007309099328602911,0.8348348348348348,inf,True,0.1904904904904905,sgd
relu,passive,0.0001432702953409831,128,0.8888222355528894,"(12, 12)",constant,0.0021248453524988827,0.6806806806806807,inf,True,0.3458458458458459,sgd
relu,passive,2.308677994187167e-06,512,0.9128174365126974,"(12, 12)",constant,0.006162966255132942,0.914914914914915,inf,True,0.7166166166166166,sgd
relu,passive,7.742636826811277e-06,64,0.9102179564087183,"(6, 6, 6, 6)",invscaling,0.005831305113526219,0.8368368368368369,inf,True,0.12162162162162163,sgd
relu,passive,6.205728806776501e-06,64,0.8976204759048191,"(12, 12)",constant,0.004126820845702952,0.07007007007007007,inf,True,0.8647647647647648,sgd
relu,passive,4.213321743847289e-06,64,0.9070185962807439,"(6, 6, 6, 6)",constant,0.0033076497807442424,0.8658658658658659,inf,True,0.3290290290290291,sgd
relu,passive,1.9023011886689458e-06,128,0.7621475704859029,"(4, 4, 4, 4, 4, 4)",constant,0.008668379930019773,0.8778778778778779,inf,True,0.34344344344344346,sgd
relu,passive,1.8632463119315598e-06,64,0.8700259948010398,"(12, 12)",constant,0.002105345242766704,0.3963963963963964,inf,True,0.6109109109109109,sgd
relu,passive,0.00011969557023590428,64,0.9037192561487702,"(12, 6, 3, 3)",constant,0.005594325706169377,0.7937937937937938,inf,True,0.5324324324324324,sgd
relu,passive,0.00010423606739764012,64,0.9155168966206758,"(12, 12)",constant,0.0047827720177274855,0.35235235235235235,inf,True,0.4355355355355356,sgd
relu,passive,2.860595535175739e-05,256,0.5347930413917217,"(4, 4, 4, 4, 4, 4)",constant,0.00937501501514529,0.8798798798798799,inf,True,0.5244244244244245,sgd
relu,passive,8.354528058382871e-05,64,0.8944211157768446,"(4, 4, 4, 4, 4, 4)",constant,0.0021945290862033138,0.95995995995996,inf,True,0.2617617617617618,sgd
relu,passive,0.0008952657125996401,256,0.889622075584883,"(6, 6, 6, 6)",constant,0.0007093341204987997,0.9579579579579579,inf,True,0.8895895895895896,sgd
relu,passive,0.0009014776314524918,32,0.9147170565886823,"(12, 12)",constant,0.004962444877628913,0.1871871871871872,inf,True,0.8247247247247247,sgd
relu,passive,7.689283720758305e-05,64,0.8965206958608278,"(12, 12)",constant,0.0020573743134329114,0.28928928928928926,inf,True,0.13443443443443442,sgd
relu,passive,2.9612254379880313e-05,32,0.9049190161967606,"(12, 12)",constant,0.00390473523688556,0.3973973973973974,inf,True,0.2585585585585586,sgd
relu,passive,0.0004973895958790063,32,0.8894221155768847,"(24,)",constant,0.0007814350607844542,0.943943943943944,inf,True,0.6221221221221221,sgd
relu,passive,2.095662399480431e-06,64,0.9023195360927815,"(12, 12)",constant,0.005858248200152536,0.3843843843843844,inf,True,0.44834834834834836,sgd
relu,passive,0.0003824569722466999,32,0.905618876224755,"(12, 12)",constant,0.00937501501514529,0.7987987987987988,inf,True,0.2865865865865866,sgd
relu,passive,1.4426439512181589e-06,32,0.9142171565686863,"(12, 12)",constant,0.004939621743878321,0.06306306306306306,inf,True,0.3634634634634635,sgd
relu,passive,1.2563166024741215e-05,32,0.8069386122775445,"(12, 6, 3, 3)",constant,0.0017508270317357234,0.960960960960961,inf,True,0.24094094094094096,sgd
relu,passive,0.000939664831495469,128,0.7885422915416916,"(6, 6, 6, 6)",constant,0.006453715401646702,0.46846846846846846,inf,True,0.3890890890890891,sgd
relu,passive,0.00019287915080207777,64,0.9024195160967806,"(6, 6, 6, 6)",constant,0.002614673211801092,0.9129129129129129,inf,True,0.6781781781781782,sgd
