activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,score,solver
relu,hyperband,2.543345761304648e-05,256,"(24,)",constant,0.004401935185208874,0.9879879879879879,inf,True,0.2961961961961962,0.9047190561887622,sgd
relu,hyperband,0.00021844360711494262,64,"(12, 12)",constant,0.007868571506936843,0.8308308308308309,inf,True,0.5156156156156156,0.9099180163967207,sgd
relu,hyperband,1.1562801312073753e-05,256,"(12, 12)",constant,0.007309099328602911,0.973973973973974,inf,True,0.15205205205205205,0.9104179164167167,sgd
relu,hyperband,8.829699955494083e-06,32,"(12, 12)",constant,0.0032174181506763717,0.7467467467467468,inf,True,0.8303303303303303,0.914617076584683,sgd
relu,hyperband,1.4032890847858732e-05,32,"(6, 6, 6, 6)",constant,0.003995780301895269,0.45245245245245247,inf,True,0.662962962962963,0.9072185562887423,sgd
relu,hyperband,8.768856094587427e-06,32,"(12, 12)",constant,0.00858882855954625,0.1831831831831832,inf,True,0.7750750750750751,0.9104179164167167,sgd
relu,hyperband,3.7202366814130657e-06,256,"(12, 12)",constant,0.009549485639791966,0.8608608608608609,inf,True,0.8847847847847848,0.9070185962807439,sgd
relu,hyperband,3.986581073580439e-05,32,"(12, 12)",constant,0.0010023075482838654,0.970970970970971,inf,True,0.11441441441441443,0.9063187362527495,sgd
relu,hyperband,0.0008354528058382863,128,"(12, 12)",constant,0.0006868103588995307,0.994994994994995,inf,True,0.44834834834834836,0.9084183163367326,sgd
relu,hyperband,0.0001633853877809862,64,"(12, 12)",invscaling,0.008870496889654403,0.93993993993994,inf,True,0.104004004004004,0.9112177564487103,sgd
relu,hyperband,0.0009794696670695395,32,"(6, 6, 6, 6)",constant,0.009908228099003798,0.06706706706706707,inf,True,0.1856856856856857,0.9122175564887023,sgd
relu,hyperband,0.00028804441533962976,64,"(6, 6, 6, 6)",constant,0.0053177231778509665,0.9479479479479479,inf,True,0.27057057057057055,0.9144171165766847,sgd
relu,hyperband,2.1844360711494283e-06,64,"(6, 6, 6, 6)",constant,0.003100926635931927,0.9719719719719719,inf,True,0.6549549549549549,0.9069186162767446,sgd
relu,hyperband,0.00014728827239075018,32,"(12, 12)",constant,0.0034319071974590427,0.8658658658658659,inf,True,0.34264264264264266,0.9135172965406919,sgd
relu,hyperband,8.296958520834916e-05,64,"(12, 12)",constant,0.008015006961565405,0.4114114114114114,inf,True,0.17527527527527528,0.9140171965606879,sgd
relu,hyperband,1.4228304572143519e-05,32,"(12, 12)",constant,0.008668379930019773,0.5305305305305306,inf,True,0.3162162162162162,0.9102179564087183,sgd
relu,hyperband,0.0002706652070033241,32,"(12, 12)",constant,0.0036271002523306484,0.8198198198198198,inf,True,0.5996996996996997,0.911117776444711,sgd
relu,hyperband,1.7030650292528427e-06,32,"(12, 12)",constant,0.009331897715733239,0.5355355355355356,inf,True,0.6597597597597598,0.9085182963407319,sgd
relu,hyperband,2.389892566231048e-05,32,"(12, 12)",constant,0.0004079534503452449,0.948948948948949,inf,True,0.4187187187187187,0.9127174565086983,sgd
relu,hyperband,1.4130259905995336e-05,256,"(12, 12)",constant,0.008015006961565405,0.9629629629629629,inf,True,0.35785785785785784,0.9124175164967007,sgd
relu,hyperband,7.531420165974376e-06,64,"(12, 12)",constant,0.00903557834613892,0.9239239239239239,inf,True,0.37467467467467475,0.9139172165566887,sgd
relu,hyperband,0.000326222200971167,64,"(12, 12)",constant,0.0062776601058065,0.965965965965966,inf,True,0.8191191191191192,0.9120175964807039,sgd
relu,hyperband,4.213321743847289e-06,32,"(12, 12)",constant,0.0017427746784089192,0.7267267267267267,inf,True,0.686986986986987,0.910117976404719,sgd
relu,hyperband,1.691329517029647e-05,32,"(6, 6, 6, 6)",constant,0.006394488428556937,0.48348348348348347,inf,True,0.5836836836836837,0.9087182563487303,sgd
relu,hyperband,0.00019692202554791714,64,"(12, 12)",constant,0.004442706749606883,0.978978978978979,inf,True,0.30340340340340344,0.9123175364927014,sgd
relu,hyperband,4.8717802187946306e-05,256,"(12, 12)",constant,0.0077248114514034,0.974974974974975,inf,True,0.8383383383383384,0.9117176564687063,sgd
relu,hyperband,6.335804992658255e-05,128,"(24,)",constant,0.005416686911033152,0.994994994994995,inf,True,0.16086086086086088,0.8947210557888422,sgd
relu,hyperband,5.517492376129129e-06,32,"(12, 12)",constant,0.002566902715491952,0.7167167167167167,inf,True,0.39149149149149154,0.9189162167566487,sgd
relu,hyperband,1.762975375287204e-05,256,"(12, 12)",constant,0.0034796979038876916,0.9829829829829829,inf,True,0.8767767767767768,0.9166166766646671,sgd
relu,hyperband,2.3246970599856503e-06,32,"(12, 12)",invscaling,0.00320262069365765,0.8658658658658659,inf,True,0.15925925925925927,0.9147170565886823,sgd
relu,hyperband,0.0005113387538414326,512,"(6, 6, 6, 6)",constant,0.005517492376129128,0.8358358358358359,inf,True,0.5188188188188189,0.911117776444711,sgd
relu,hyperband,0.00017752080117176342,256,"(6, 6, 6, 6)",constant,0.009954008287621519,0.5415415415415415,inf,True,0.6773773773773774,0.9139172165566887,sgd
relu,hyperband,1.9692202554791733e-06,256,"(12, 12)",constant,0.0005633142670601352,0.997997997997998,inf,True,0.7454454454454454,0.914617076584683,sgd
relu,hyperband,2.1395888713434215e-05,32,"(6, 6, 6, 6)",constant,0.0034477640547344642,0.8088088088088088,inf,True,0.22652652652652655,0.906618676264747,sgd
relu,hyperband,5.517492376129129e-06,32,"(12, 12)",constant,0.00903557834613892,0.7687687687687688,inf,True,0.30580580580580585,0.9118176364727054,sgd
