activation,alg,alpha,batch_size,best_score_,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,random_state,solver
relu,hyperband,2.651083601908536e-06,128,0.9113483685220729,"(12, 12)",constant,0.00903557834613892,0.8768768768768769,inf,True,0.8687687687687687,42,sgd
relu,hyperband,2.543345761304648e-05,256,0.904510556621881,"(24,)",constant,0.004401935185208874,0.9879879879879879,inf,True,0.2961961961961962,42,sgd
relu,hyperband,0.00021844360711494262,64,0.9071497120921305,"(12, 12)",constant,0.007868571506936843,0.8308308308308309,inf,True,0.5156156156156156,42,sgd
relu,hyperband,1.1562801312073753e-05,256,0.9138675623800384,"(12, 12)",constant,0.007309099328602911,0.973973973973974,inf,True,0.15205205205205205,42,sgd
relu,hyperband,0.0005329994080844088,64,0.9095489443378119,"(12, 12)",constant,0.0013400688963639508,0.9259259259259259,inf,True,0.843943943943944,42,sgd
relu,hyperband,2.27697025538168e-05,32,0.885436660268714,"(6, 6, 6, 6)",constant,0.008015006961565405,0.0990990990990991,inf,True,0.7854854854854855,42,sgd
relu,hyperband,4.070142453219439e-06,64,0.8945537428023033,"(6, 6, 6, 6)",constant,0.006543586018883229,0.8358358358358359,inf,True,0.7742742742742743,42,sgd
relu,hyperband,2.0244465099768016e-05,32,0.9106285988483686,"(12, 12)",constant,0.0005429186177618942,0.9719719719719719,inf,True,0.5324324324324324,42,sgd
relu,hyperband,3.986581073580439e-05,32,0.9031909788867563,"(12, 12)",constant,0.0010023075482838654,0.970970970970971,inf,True,0.11441441441441443,42,sgd
relu,hyperband,0.0008354528058382863,128,0.9090690978886756,"(12, 12)",constant,0.0006868103588995307,0.994994994994995,inf,True,0.44834834834834836,42,sgd
relu,hyperband,0.0001633853877809862,64,0.9129078694817658,"(12, 12)",invscaling,0.008870496889654403,0.93993993993994,inf,True,0.104004004004004,42,sgd
relu,hyperband,0.0007636298261282241,64,0.9071497120921305,"(12, 12)",constant,0.0036606951475969024,0.9569569569569569,inf,True,0.5028028028028029,42,sgd
relu,hyperband,6.248788072006888e-05,32,0.907989443378119,"(24,)",constant,0.004361537789208006,0.9239239239239239,inf,True,0.7966966966966967,42,sgd
relu,hyperband,0.0009794696670695395,64,0.9070297504798465,"(12, 12)",constant,0.0029071233772725753,0.9629629629629629,inf,True,0.3866866866866867,42,sgd
relu,hyperband,3.1952475057592136e-06,128,0.9117082533589251,"(12, 12)",constant,0.0066653632681249134,0.8828828828828829,inf,True,0.10640640640640642,42,sgd
relu,hyperband,8.296958520834916e-05,64,0.9119481765834933,"(12, 12)",constant,0.008015006961565405,0.4114114114114114,inf,True,0.17527527527527528,42,sgd
relu,hyperband,4.838209664925957e-06,32,0.9105086372360844,"(12, 12)",constant,0.004070142453219439,0.6146146146146146,inf,True,0.6221221221221221,42,sgd
relu,hyperband,0.00022302232979659386,128,0.9048704414587332,"(12, 12)",constant,0.0030866649433372744,0.973973973973974,inf,True,0.7774774774774775,42,sgd
relu,hyperband,0.0004871780218794631,32,0.8997120921305183,"(24,)",constant,0.0062776601058065,0.9769769769769769,inf,True,0.14404404404404406,42,sgd
relu,hyperband,2.1844360711494283e-05,64,0.9059500959692899,"(12, 12)",constant,0.008316104153230962,0.93993993993994,inf,True,0.32182182182182184,42,sgd
relu,hyperband,1.4130259905995336e-05,256,0.9107485604606526,"(12, 12)",constant,0.008015006961565405,0.9629629629629629,inf,True,0.35785785785785784,42,sgd
relu,hyperband,7.531420165974376e-06,64,0.9078694817658349,"(12, 12)",constant,0.00903557834613892,0.9239239239239239,inf,True,0.37467467467467475,42,sgd
relu,hyperband,0.000326222200971167,64,0.907989443378119,"(12, 12)",constant,0.0062776601058065,0.965965965965966,inf,True,0.8191191191191192,42,sgd
relu,hyperband,4.213321743847289e-06,32,0.9066698656429942,"(12, 12)",constant,0.0017427746784089192,0.7267267267267267,inf,True,0.686986986986987,42,sgd
relu,hyperband,1.691329517029647e-05,32,0.8952735124760077,"(6, 6, 6, 6)",constant,0.006394488428556937,0.48348348348348347,inf,True,0.5836836836836837,42,sgd
relu,hyperband,9.794696670695386e-06,32,0.9039107485604606,"(12, 12)",constant,0.008126619200091946,0.7697697697697697,inf,True,0.4723723723723724,42,sgd
relu,hyperband,4.8717802187946306e-05,256,0.9145873320537428,"(12, 12)",constant,0.0077248114514034,0.974974974974975,inf,True,0.8383383383383384,42,sgd
relu,hyperband,1.2738113231864785e-05,128,0.9049904030710173,"(24,)",constant,0.0015530705739334601,0.993993993993994,inf,True,0.37787787787787785,42,sgd
relu,hyperband,5.517492376129129e-06,32,0.9077495201535508,"(12, 12)",constant,0.002566902715491952,0.7167167167167167,inf,True,0.39149149149149154,42,sgd
relu,hyperband,2.3734242500238664e-05,128,0.9019913627639156,"(6, 6, 6, 6)",constant,0.002417594079169128,0.992992992992993,inf,True,0.5244244244244245,42,sgd
relu,hyperband,0.00031732296347349763,32,0.9094289827255279,"(12, 12)",constant,0.009077326525210224,0.8798798798798799,inf,True,0.8615615615615616,42,sgd
relu,hyperband,1.2563166024741214e-06,32,0.9058301343570058,"(24,)",constant,0.0038867766908926675,0.992992992992993,inf,True,0.6061061061061062,42,sgd
relu,hyperband,8.9526571259964e-06,64,0.9107485604606526,"(12, 12)",constant,0.007142559285543126,0.8818818818818819,inf,True,0.493993993993994,42,sgd
relu,hyperband,1.6681005372000591e-06,32,0.9060700575815739,"(12, 12)",constant,0.005391774640387505,0.6746746746746747,inf,True,0.2201201201201201,42,sgd
relu,hyperband,2.1395888713434215e-05,32,0.8974328214971209,"(6, 6, 6, 6)",constant,0.0034477640547344642,0.8088088088088088,inf,True,0.22652652652652655,42,sgd
relu,hyperband,0.0005329994080844088,128,0.9099088291746641,"(12, 12)",constant,0.004422273980505897,0.980980980980981,inf,True,0.15925925925925927,42,sgd
relu,hyperband,5.555776222398878e-05,64,0.9006717850287908,"(12, 12)",constant,0.005724766239702178,0.958958958958959,inf,True,0.666966966966967,42,sgd
relu,hyperband,3.2397426295281954e-06,32,0.9163867562380038,"(12, 12)",constant,0.004088948226294864,0.6966966966966966,inf,True,0.7142142142142143,42,sgd
relu,hyperband,3.065395295056524e-05,32,0.9053502879078695,"(12, 12)",constant,0.004738879609717651,0.7887887887887888,inf,True,0.4947947947947948,42,sgd
relu,hyperband,0.0006162966255132943,64,0.9136276391554703,"(12, 12)",constant,0.00216438908606402,0.8518518518518519,inf,True,0.8303303303303303,42,sgd
relu,hyperband,1.4426439512181589e-06,32,0.9054702495201535,"(12, 12)",constant,0.008870496889654403,0.7967967967967968,inf,True,0.4395395395395396,42,sgd
relu,hyperband,6.120498372476703e-05,128,0.9018714011516314,"(12, 12)",constant,0.00790492762269642,0.5295295295295295,inf,True,0.337037037037037,42,sgd
relu,hyperband,0.0008126619200091946,32,0.9129078694817658,"(12, 12)",constant,0.0003224842498408442,0.974974974974975,inf,True,0.42592592592592593,42,sgd
relu,hyperband,1.2305240043592616e-05,32,0.9141074856046065,"(12, 12)",invscaling,0.0077248114514034,0.973973973973974,inf,True,0.3002002002002002,42,sgd
relu,hyperband,9.014776314524917e-05,32,0.9049904030710173,"(12, 12)",constant,0.00858882855954625,0.23623623623623624,inf,True,0.8663663663663663,42,sgd
relu,hyperband,5.672228971644549e-05,64,0.9049904030710173,"(12, 12)",constant,0.008201889499202203,0.9049049049049049,inf,True,0.1904904904904905,42,sgd
relu,hyperband,2.2302232979659364e-06,32,0.9025911708253359,"(12, 6, 3, 3)",constant,0.0005737976414214134,0.990990990990991,inf,True,0.7942942942942943,42,sgd
relu,hyperband,0.00022927693128656486,64,0.9106285988483686,"(12, 12)",constant,0.0004620241371751313,0.985985985985986,inf,True,0.6413413413413414,42,sgd
relu,hyperband,0.0004014242490499322,32,0.9123080614203455,"(12, 12)",constant,0.005777790117970507,0.7247247247247247,inf,True,0.6781781781781782,42,sgd
relu,hyperband,2.5787628875938035e-06,128,0.9046305182341651,"(24,)",constant,0.006335804992658254,0.9529529529529529,inf,True,0.4691691691691692,42,sgd
relu,hyperband,1.0642092440647246e-05,64,0.9101487523992322,"(12, 12)",constant,0.00019783188827841644,0.992992992992993,inf,True,0.36266266266266267,42,sgd
