activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,random_state,score,solver
relu,hyperband,0.00013005112521734084,64,"(12, 12)",constant,0.005831305113526219,0.8478478478478478,inf,True,0.11841841841841842,1920,0.906190019193858,sgd
relu,hyperband,0.00048382096649259574,32,"(12, 12)",constant,0.006134621717992506,0.2652652652652653,inf,True,0.3106106106106106,2786,0.9111084452975048,sgd
relu,hyperband,0.00014130259905995336,64,"(12, 12)",constant,0.0053669769455404765,0.8378378378378378,inf,True,0.39629629629629637,3058,0.9120681381957774,sgd
relu,hyperband,8.183006815867389e-06,32,"(12, 12)",constant,0.000818300681586739,0.94994994994995,inf,True,0.2105105105105105,5633,0.9103886756238004,sgd
relu,hyperband,0.0009727203192450537,64,"(12, 12)",constant,0.004717084690917017,0.2952952952952953,inf,True,0.11761761761761763,2893,0.9125479846449136,sgd
relu,hyperband,2.9205555121827453e-06,32,"(12, 12)",constant,0.006365079081295571,0.7507507507507507,inf,True,0.8615615615615616,6572,0.8989923224568138,sgd
relu,hyperband,0.00011403996019700331,256,"(12, 12)",constant,0.005831305113526219,0.9569569569569569,inf,True,0.8103103103103103,9764,0.9124280230326296,sgd
relu,hyperband,3.1952475057592136e-05,64,"(12, 12)",constant,0.0011456687286348715,0.948948948948949,inf,True,0.6845845845845846,4677,0.9093090211132437,sgd
relu,hyperband,0.0003824569722466999,64,"(12, 12)",constant,0.0014694918006248172,0.96996996996997,inf,True,0.8319319319319319,7941,0.914827255278311,sgd
relu,hyperband,1e-05,32,"(12, 12)",constant,0.005831305113526219,0.7877877877877878,inf,True,0.2945945945945946,2586,0.9107485604606526,sgd
relu,hyperband,5.043159487171359e-05,32,"(24,)",constant,0.008870496889654403,0.6426426426426426,inf,True,0.5028028028028029,7394,0.9048704414587332,sgd
relu,hyperband,2.9817722900196732e-06,64,"(12, 12)",constant,0.0065134909462728026,0.8738738738738738,inf,True,0.5996996996996997,9102,0.9103886756238004,sgd
relu,hyperband,0.0005404216420705915,32,"(12, 12)",constant,0.007376797602527731,0.34734734734734735,inf,True,0.3698698698698699,4057,0.9037907869481766,sgd
relu,hyperband,2.0956623994804308e-05,32,"(12, 12)",constant,0.002801866556459195,0.7747747747747747,inf,True,0.1,2987,0.9157869481765835,sgd
relu,hyperband,0.00012390621569479155,32,"(12, 12)",constant,0.0038157646612712484,0.8948948948948949,inf,True,0.7414414414414414,2618,0.9084692898272553,sgd
relu,hyperband,0.00032397426295281955,256,"(12, 12)",constant,0.008316104153230962,0.944944944944945,inf,True,0.2761761761761762,6381,0.9093090211132437,sgd
relu,hyperband,1.556654359271062e-05,32,"(24,)",constant,0.004401935185208874,0.8918918918918919,inf,True,0.8975975975975976,1873,0.8932341650671785,sgd
relu,hyperband,5.594325706169377e-05,64,"(12, 12)",constant,0.004871780218794631,0.8808808808808809,inf,True,0.6013013013013013,8731,0.907989443378119,sgd
relu,hyperband,8.890965989529167e-06,64,"(12, 12)",constant,0.0059125084138318814,0.7517517517517518,inf,True,0.21211211211211212,4599,0.9165067178502879,sgd
relu,hyperband,2.43998629725955e-05,32,"(12, 12)",constant,0.0065134909462728026,0.8038038038038038,inf,True,0.6365365365365365,2721,0.9126679462571977,sgd
relu,hyperband,4.098383671757261e-06,32,"(12, 12)",constant,0.005831305113526219,0.46046046046046046,inf,True,0.3986986986986987,4091,0.9105086372360844,sgd
relu,hyperband,0.0001432702953409831,64,"(12, 12)",constant,0.00016835508029612023,0.996996996996997,inf,True,0.30420420420420424,6852,0.9133877159309021,sgd
relu,hyperband,0.0004213321743847289,128,"(12, 12)",constant,0.003977403024058037,0.988988988988989,inf,True,0.8551551551551552,238,0.9144673704414588,sgd
relu,hyperband,6.120498372476703e-06,32,"(12, 6, 3, 3)",constant,0.008994022174092044,0.8948948948948949,inf,True,0.8911911911911912,6050,0.9082293666026872,sgd
